,,Nombre,Bt.LISTA 1,Bt.LISTA 2,Rubro,Artículo
,,"EXTRACTO DE VAINILLA NATURAL X 100 CC EL CASTILLO""""","13.910,00","12.930,00","AZUCAR, CACAO Y REPOSTERIA","2.257,00"
,,FECULA DE MANDIOCA X KG,"4.440,00","3.560,00",HARINAS,"1.269,00"
,,"FIDEOS DE ARROZ PARTY BECK"" X 280GR""","4.470,00","3.680,00",PRODUCTOS SIN TACC,"1.863,00"
,,"FIDEOS DE ARROZ VERDURA PARTY BECK"" X280GR""","4.950,00","4.080,00",PRODUCTOS SIN TACC,"1.685,00"
,,FINAS HIERBAS X KG.,"19.490,00","15.700,00",ESPECIAS,"1.270,00"
,,"FLEBOTONICO X30 COMPRIMIDOS EL NATURALISTA""""","8.850,00","6.970,00",SUPLEMENTOS,"2.217,00"
,,FRAMBUESAS CONGELADAS X KG,"32.300,00","27.550,00",PRODUCTOS CONGELADOS,"2.470,00"
,,FRASCO ESPECIERO VIDRIO,"7.880,00","6.720,00",PALADEAR HOME,"5.014,00"
,,FRUTA ESCURRIDA X KG,"6.430,00","5.180,00",DESHIDRATADOS,"1.271,00"
,,FRUTA MULTICOLOR X KG,"11.070,00","8.880,00",DESHIDRATADOS,"1.954,00"
,,FRUTILLA GLASEADA XKG,"0,00","0,00","DULCES, MIEL Y CHOCOLATES","5.047,00"
,,GALLETAS CACHAFAS ORGANICAS,"3.260,00","2.790,00",SNACK,"1.895,00"
,,GALLETAS CACHAFAZ INTEGRALES,"4.120,00","3.510,00",SNACK,"2.115,00"
,,GALLETAS SIN TACC X KG,"15.500,00","14.000,00",PRODUCTOS SIN TACC,"2.280,00"
,,"GALLETAS SLIM DOS HERMANO SIN TACC""""","1.610,00","1.380,00",PRODUCTOS SIN TACC,"2.111,00"
,,GALLETITAS DELICEL (SIN TACC) x 150 g,"3.500,00","3.070,00",PRODUCTOS SIN TACC,"2.354,00"
,,GARAM MASALA XKG,"29.850,00","23.890,00",ESPECIAS,"2.101,00"
,,GARBANZOS X KG,"3.680,00","2.950,00",GRANOS Y LEGUMBRES,"2.335,00"
,,GARRAPIÑADA DE MANI X KG,"10.660,00","8.550,00","DULCES, MIEL Y CHOCOLATES","1.276,00"
,,GARRAPIÑADA DE GARBANZO CON SESAMO,"29.580,00","25.230,00","DULCES, MIEL Y CHOCOLATES","5.046,00"
,,GELATINA SIN SABOR X KG,"26.010,00","20.810,00",ESPECIAS,"1.702,00"
,,GERMEN DE TRIGO NATURAL X KG.,"3.590,00","2.870,00",HARINAS,"1.281,00"
,,"GIN DE AUTOR LODON DRY x 750 cc TIERRA SANTA"" ""","12.860,00","10.970,00",VINOS,"2.304,00"
,,"GIN DE AUTOR SABORIZADO x 500 cc TIERRA SANTA"" ""","9.240,00","8.150,00",VINOS,"2.301,00"
,,"GINKGO BILOBA FORTE X 10 COMP. EL NATURALISTA""""","2.310,00","1.970,00",SUPLEMENTOS,"2.082,00"
,,"GINSENG + MAGNESIO X 10 COMP. EL NATURALISTA""""","3.320,00","2.830,00",SUPLEMENTOS,"2.084,00"
,,"GLICINATO DE MAGNESIO EL NATURALISA""""","9.610,00","8.200,00",SUPLEMENTOS,"2.078,00"
,,GLUTEN DE TRIGO X KG,"16.520,00","13.260,00",HARINAS,"1.282,00"
,,GOMA XANTICA,"40.410,00","38.040,00","AZUCAR, CACAO Y REPOSTERIA","2.408,00"
,,GOTITAS DE CHOCO BLANCO X KG,"16.600,00","14.160,00","DULCES, MIEL Y CHOCOLATES","2.241,00"
,,GOTITAS DE CHOCO SEMIAMARGO X KG,"15.610,00","13.310,00","DULCES, MIEL Y CHOCOLATES","2.007,00"
,,GRANOLA CON CHOCO X KG,"8.930,00","7.190,00",CEREALES,"1.912,00"
,,GRANOLA CON MIEL X KG,"13.820,00","11.050,00",CEREALES,"1.290,00"
,,GRANOLA CRUNCH X 1 KG - HOMEMADE,"25.420,00","20.030,00",CEREALES,"5.022,00"
,,GRANOLA FIT-CRUNCH X 1KG - HOMEMADE,"25.300,00","19.930,00",CEREALES,"5.023,00"
,,GRANOLA MIX BERRIES X KG,"13.070,00","10.490,00",CEREALES,"1.286,00"
,,GRANOLA MIX ENERGET X KG,"13.070,00","10.490,00",CEREALES,"1.287,00"
,,GRANOLA MIX SIN PASAS X KG,"7.550,00","6.040,00",CEREALES,"1.897,00"
,,GRANOLA MIX TROPICAL X KG,"13.080,00","10.510,00",CEREALES,"1.289,00"
,,GRANOLA TRADICIONAL X KG,"7.830,00","6.270,00",CEREALES,"1.911,00"
,,HARINA DE ALMENDRAS S/ PIEL X KG,"34.670,00","27.760,00",HARINAS,"1.293,00"
,,HARINA DE ALGARROBA X KG,"8.530,00","6.840,00",HARINAS,"1.291,00"
,,HARINA DE ALMENDRAS C/PIEL,"28.740,00","24.520,00",HARINAS,"2.315,00"
,,HARINA DE ARROZ X KG,"3.120,00","2.500,00",HARINAS,"1.294,00"
,,HARINA DE AVENA INTEGRAL SIN TACC X350gr DICOMERE,"3.830,00","3.370,00",PRODUCTOS SIN TACC,"5.034,00"
,,HARINA DE AVENA X KG,"3.960,00","3.220,00",HARINAS,"1.295,00"
,,HARINA DE COCO X KG,"11.240,00","9.050,00",HARINAS,"1.298,00"
,,HARINA DE CHIA X KG.,"2.230,00","1.780,00",HARINAS,"1.297,00"
,,HARINA DE GARBANZO X KG,"2.680,00","2.210,00",HARINAS,"1.299,00"
