,,Rubro,Artículo,Nombre,Bt.LISTA 1,Patente
,,HARINAS,1577,SALVADO DE TRIGO GRUESO X 1 KG,"1.870,00",1 kg
,,HARINAS,1588,SEMOLIN DE TRIGO X KG,"2.400,00",1 kg
,,HARINAS,1621,TEXTURIZADO DE SOJA X KG,"2.920,00",1 kg
,,HARINAS,1670,PANKO X KG,"3.010,00",
,,HARINAS,1822,HARINILLA DE MAIZ,"1.550,00",1 kg
,,HARINAS,2041,HARINA TRIGO SARRACENO X KG,"6.940,00",1 kg
,,INFUSIONES Y HIERBAS,1154,BOLDO X KG,"15.110,00",1 kg
,,INFUSIONES Y HIERBAS,1384,MANZANILLA FLOR X KG,"32.460,00",1 kg
,,INFUSIONES Y HIERBAS,1618,TE NEGRO X KG,"8.050,00",1 kg
,,INFUSIONES Y HIERBAS,1619,TE ROJO X KG,"8.050,00",1 kg
,,INFUSIONES Y HIERBAS,1849,HIBISCUS FLOR X KG,"14.670,00",1 kg
,,INFUSIONES Y HIERBAS,2032,EUCALIPTUS X KG,"10.710,00",1 kg
,,INFUSIONES Y HIERBAS,2033,YERBA DEL PLATERO X KG,"9.800,00",1 kg
,,INFUSIONES Y HIERBAS,2035,TE DE BURRO X KG,"19.390,00",1 kg
,,INFUSIONES Y HIERBAS,2036,SEN FOLICULOS X KG,"30.030,00",1 kg
,,INFUSIONES Y HIERBAS,2037,LAVANDA X KG,"65.830,00",1 kg
,,INFUSIONES Y HIERBAS,2043,YERBA MATE DESPALADA KALENA X KG,"8.540,00",10 kg
,,INFUSIONES Y HIERBAS,2048,TE VERDE X KG,"6.760,00",1 kg
,,INFUSIONES Y HIERBAS,2072,DIENTE DE LEON XKG,"9.170,00",1 kg
